,fips,cases,deaths,popdense,population,ageab55,ageab65,ageab75,diabetes,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,AR,AS,AT,AU,pct_highschool_or_less,% Adults with Diabetes,% Adults with Obesity
379,12123,1967,25,8.0020561,21623,33.84359247,0.204411969,0.084493364,0.13,909.6795079,11.56176294,127.0971022,19.8,54.56227166,72.436756,19.280396,0.85557047,0.82782218,4.5044627,21.22981453,43.81987762,26.60248375,8.347826004,65.04969215,13,35
380,12125,1439,65,23.683952,14940,29.54484605,0.149732262,0.05789826,0.14,963.1860776,43.50736278,451.7025712,22,64.41097724,69.605088,21.941097,0.40160641,0.72958502,5.7095047,23.4979496,37.38634491,29.91620636,9.199501038,60.88429451,14,37
381,12127,22291,449,191.96997,547538,39.73934229,0.244244235,0.107241872,0.13,407.1132962,8.200344086,201.4265847,15.2,48.80337072,71.178257,10.366222,0.27998057,1.9065343,14.528124,9.494902611,31.76662254,35.04929352,23.68918419,41.26152515,13,30
382,12129,2106,25,20.667686,32461,29.54314408,0.156680324,0.055297126,0.079999998,648.7785342,7.701549552,118.708452,11.5,53.37789963,80.059147,12.803055,0.6530914,0.70854258,3.767598,12.27348709,36.20357132,33.1962471,18.32669258,48.47705841,8,40
383,12131,4891,48,26.555769,71375,36.2591944,0.205632224,0.077001751,0.13,685.2539405,6.725043783,98.13943979,14.7,50.54991243,84.205955,5.0395798,0.66970228,1.3155867,6.3803852,10.85192299,28.48804665,32.12601089,28.53402138,39.33996964,13,32
384,12133,1971,30,16.429977,24880,31.21382637,0.175361736,0.070618971,0.15000001,792.2025723,12.05787781,152.2070015,22.4,53.65755627,77.540195,14.501607,1.2178456,0.57475884,3.7017684,18.74615479,40.12639236,28.61137581,12.51607895,58.87254715,15,38
385,13001,1677,44,14.058548,18507,30.75593019,0.172313179,0.069865456,0.18000001,906.1436213,23.77478792,262.3732856,23.3,49.92705463,68.617278,18.873939,0.23774789,0.68082348,10.244773,25.07324219,38.72070313,26.37532616,9.830729485,63.79394531,18,39
386,13003,775,9,9.3472919,8297,26.22634687,0.140653248,0.0553212,0.13,934.0725563,10.8472942,116.1290323,30,50.47607569,56.586719,16.053995,0.45799688,0.36157647,24.972881,32.78845978,34.71154022,20.26922989,12.23076916,67.5,13,35
387,13005,1011,25,15.201636,11185,28.24318283,0.160393384,0.062047385,0.18000001,903.8891372,22.35136343,247.2799209,27.2,48.8869021,72.990614,16.092981,0.089405454,0.48278943,8.7080911,17.92221832,42.37149811,29.24938774,10.45689392,60.29371643,18,37
388,13007,164,6,3.4911604,3092,39.13324709,0.225097025,0.091849935,0.20999999,530.4010349,19.40491591,365.8536585,21.3,49.45019405,47.509703,43.952134,0.32341527,0.93790423,6.0478654,19.3863945,37.88350296,29.83548164,12.89461994,57.26989746,21,35
389,13009,3203,75,66.897247,44823,28.85795239,0.160118689,0.063137229,0.12,714.5884925,16.73248109,234.1554792,26.2,50.73734467,52.446288,42.203778,0.20302078,1.6554002,2.2265354,14.2137022,35.04792404,27.46538925,23.27298546,49.26162624,12,37
390,13011,1248,20,31.592833,18988,31.14072046,0.174899937,0.065199073,0.11,657.2572151,10.53296819,160.2564103,13.4,50.7952391,87.471032,2.5963767,0.25805773,1.0585633,7.1150199,24.11637688,38.01512527,24.47136879,13.39712906,62.13150215,11,34
391,13013,5296,67,193.74834,80809,23.99732703,0.124466334,0.045799354,0.18000001,655.3725451,8.291155688,126.510574,12.1,49.00073012,70.524323,11.876152,0.21532255,3.8114566,11.529656,15.46832561,34.09734344,31.44898796,18.98534203,49.56566906,18,38
392,13015,7951,130,89.406868,106408,27.08348996,0.14017743,0.052430268,0.14,747.2182543,12.21712653,163.5014464,13.2,49.31772047,77.289301,10.810278,0.28475302,0.99334633,8.7944515,16.37269592,33.40166473,31.58943748,18.63620186,49.77436066,14,31
393,13017,1491,44,25.913326,16787,30.98230774,0.175075952,0.070471198,0.13,888.1872878,26.21075832,295.1039571,31.6,47.44742956,55.769348,35.724074,0.35146244,0.79227975,6.2250551,16.46805763,45.26476288,27.02266884,11.24451256,61.73282051,13,40
394,13019,1132,31,16.395287,19252,30.69291502,0.170995221,0.070797839,0.14,587.9908581,16.10222315,273.8515901,26.3,49.10658633,81.742156,10.726158,0.31685019,1.1687097,4.9189694,20.97324371,42.42401123,25.15727997,11.44546318,63.39725494,14,39
395,13021,10126,261,237.01155,153095,28.14461609,0.155955452,0.064495901,0.14,661.4193801,17.04823802,257.7523208,25.7,46.92968418,37.834677,54.956728,0.193344,2.1039223,3.407035,14.00866604,30.48703575,30.11377907,25.3905201,44.49570179,14,37
396,13023,1016,35,22.961872,12838,29.887833,0.168484188,0.079217947,0.079999998,791.4005297,27.26281352,344.488189,20.8,47.70213429,68.219352,26.304722,0.13241938,1.0281975,3.1157501,11.4380331,40.9119873,28.91351509,18.73646736,52.35002041,8,43
